purchase_month,orders,revenue,avg_review,delay_rate,avg_delivery_days
2017-01,800,138488.04,4.0627,0.0307,12.6470
2017-02,1780,291908.01,4.0158,0.0321,13.1688
2017-03,2682,449863.60,4.0541,0.0724,13.8710
2017-04,2404,417788.03,3.9937,0.1072,14.7990
2017-05,3700,592918.82,4.1173,0.0779,11.9409
2017-06,3245,511276.38,4.1185,0.0310,12.0129
2017-07,4026,592382.92,4.1255,0.0350,11.8258
2017-08,4331,674396.32,4.1931,0.0357,11.3131
2017-09,4285,727762.45,4.1236,0.0493,11.7549
2017-10,4631,779677.88,4.0564,0.0597,11.8750
2017-11,7544,1194882.80,3.8056,0.1431,15.1611
2017-12,5673,878401.48,4.0101,0.0888,15.3949
2018-01,7269,1115004.18,4.0320,0.0656,14.0806
2018-02,6728,992463.34,3.7370,0.1944,17.4265
2018-03,7211,1159652.12,3.6436,0.2136,16.3014
2018-04,6939,1160785.48,4.1223,0.0531,11.4992
2018-05,6873,1153982.15,4.1799,0.0824,11.4190
2018-06,6167,1023880.50,4.2760,0.0136,9.2392
2018-07,6292,1066540.75,4.2419,0.0448,8.9586
2018-08,6512,1022425.32,4.2058,0.1039,7.7328
