product_category_name_english,orders,items,revenue,freight,avg_review,low_review_rate,delay_rate
health_beauty,8836,9670,1258681.34,182566.73,4.1428,0.1357,0.0906
watches_gifts,5624,5991,1205005.68,100535.93,4.0020,0.1611,0.0828
bed_bath_table,9417,11115,1036988.68,204693.04,3.8940,0.1852,0.0840
sports_leisure,7720,8641,988048.97,168607.51,4.1073,0.1449,0.0741
computers_accessories,6689,7827,911954.32,147318.08,3.9308,0.1839,0.0777
furniture_decor,6449,8334,729762.49,172749.30,3.9014,0.1904,0.0843
cool_stuff,3632,3796,635290.85,84039.74,4.1474,0.1299,0.0675
housewares,5884,6964,632248.66,146149.11,4.0551,0.1549,0.0649
auto,3897,4235,592720.11,92664.21,4.0640,0.1504,0.0829
garden_tools,3518,4347,485256.46,107439.36,4.0234,0.1585,0.0797
